category,Base Overall,FT Overall,Difference,Sample Count
bullying,4.507692307692308,3.953846153846153,-0.5538461538461545,13
creativity,4.757142857142857,4.742857142857143,-0.014285714285714235,14
digital_safety,3.842857142857143,4.1,0.2571428571428567,14
emotions,4.4,4.17037037037037,-0.2296296296296303,27
everyday_life,4.3130434782608695,4.62608695652174,0.3130434782608704,23
health_safety,4.066666666666667,4.514285714285714,0.4476190476190469,21
math,4.65,4.700000000000001,0.05000000000000071,12
misc,4.5666666666666655,4.566666666666667,1.7763568394002505e-15,18
science,4.3826086956521735,4.2956521739130435,-0.08695652173912993,23
