category,base,ft,tie
bullying,61.53846153846154,38.46153846153847,0.0
creativity,57.14285714285714,35.714285714285715,7.142857142857142
digital_safety,35.714285714285715,57.14285714285714,7.142857142857142
emotions,44.44444444444444,51.85185185185185,3.7037037037037033
everyday_life,34.78260869565217,60.86956521739131,4.3478260869565215
health_safety,23.809523809523807,76.19047619047619,0.0
math,75.0,25.0,0.0
misc,44.44444444444444,55.55555555555556,0.0
science,52.17391304347826,39.130434782608695,8.695652173913043
