source,n_rows,mean_user_words,median_user_words,mean_assistant_words,median_assistant_words,mean_length_ratio,mean_assistant_fkg,median_assistant_fkg,assistant_ttr
sahar,2020,156.57673267326732,147.0,31.23811881188119,31.0,0.4312903785091117,7.127224135564252,7.001666666666669,0.1309012535459026
child_qa,729,9.285322359396433,9.0,14.366255144032921,14.0,1.9899111800910143,5.4585071002308245,5.196666666666669,0.3278907667335052
kidschatbot,485,8.31340206185567,8.0,18.517525773195878,18.0,2.669104374386443,6.533804434132339,5.884285714285717,0.2977396726422447
cai,1000,13.216,11.0,83.144,74.0,8.637733778978406,12.094851192993787,12.212653061224493,0.09277879341864717
prosocial,600,13.811666666666667,13.0,26.231666666666666,25.0,2.4778138401887237,5.161944002107096,4.937606837606838,0.1813329944723299
